region,region_std,year,production,area_total,temp_annual_mean,prec_annual_sum,temp_grow_mean,prec_grow_sum,prec_winter_sum,temp_annual_lag1,prec_annual_lag1,temp_grow_lag1,prec_grow_lag1,ln_production,ln_area,temp_grow_sq,prec_grow_sq,agro_zone,yield,ln_yield
Тверская область,Тверская область,2008,147480.0,97.309,6.211143294999999,818.8777645830146,12.746240833333331,499.3036447367664,230.94184982162992,5.769714716666667,715.2841348933964,13.671245166666669,398.3427804913981,11.901447852348081,4.577891482344962,162.46665538133402,249304.1296474191,other,1515.5843755459414,7.323556370003118
Тверская область,Тверская область,2009,121303.7,87.38000000000001,5.2778983083333335,889.9907927359948,12.812723333333333,484.031261988668,267.129626064898,6.211143294999999,818.8777645830146,12.746240833333331,499.3036447367664,11.706052597352347,4.47026642352329,164.16587921654445,234286.26258234255,other,1388.2318608377202,7.235786173829056
Тверская область,Тверская область,2010,62500.0,73.976,5.062876360000001,800.7032078667726,15.751035933333334,455.64183089030047,264.08795452764866,5.2778983083333335,889.9907927359948,12.812723333333333,484.031261988668,11.042921835724492,4.303740716275337,248.0951329731579,207609.47805706516,other,844.8686060343896,6.739181119449156
Тверская область,Тверская область,2011,90100.0,67.95299999999999,5.629192176666667,750.7805760120832,14.12294725,443.83106970853646,285.84766735644314,5.062876360000001,800.7032078667726,15.751035933333334,455.64183089030047,11.40867544359643,4.21881628973294,199.4576390262826,196986.01843862375,other,1325.9164422468473,7.189859153863489
Тверская область,Тверская область,2012,82400.0,66.56700000000001,4.39586795,926.7132725701366,13.454153333333332,526.1593463382812,284.31082114560644,5.629192176666667,750.7805760120832,14.12294725,443.83106970853646,11.319340715897564,4.19820895925239,181.0142419168444,276843.6577391274,other,1237.8505866270073,7.121131756645174
Тверская область,Тверская область,2013,86400.0,66.364,5.599628483333333,717.7544410812883,13.880954033333332,408.6833147911291,274.7938434269936,4.39586795,926.7132725701366,13.454153333333332,526.1593463382812,11.366742954792146,4.195154740781109,192.68088487551293,167022.0517886651,other,1301.9106744620576,7.171588214011038
Тверская область,Тверская область,2014,108300.0,66.55799999999999,6.030244691666667,554.6541957162611,14.336927333333334,308.0628372822774,242.735689775,5.599628483333333,717.7544410812883,13.880954033333332,408.6833147911291,11.592660432989081,4.198073747984577,205.54748536128045,94902.71171440692,other,1627.152258180835,7.394586685004504
Тверская область,Тверская область,2015,117300.0,70.59200000000001,6.3784416925,667.4981328680433,13.445471333333332,413.52637490447006,202.94279350110844,6.030244691666667,554.6541957162611,14.336927333333334,308.0628372822774,11.672490034641568,4.2569168236310375,180.7806993754884,171004.0627416323,other,1661.6613780598366,7.415573211010529
Тверская область,Тверская область,2016,100000.0,75.90100000000001,5.560256191666666,828.6385372320558,14.326076166666668,476.6515706858441,274.2762495546653,6.3784416925,667.4981328680433,13.445471333333332,413.52637490447006,11.512925464970229,4.329429859545359,205.2364583331347,227196.71983728223,other,1317.5056982121446,7.18349560542487
Тверская область,Тверская область,2017,99800.0,70.36099999999999,5.170356493333333,852.4205780336121,12.093342866666667,497.8363743591861,263.06749406407,5.560256191666666,828.6385372320558,14.326076166666668,476.6515706858441,11.510923462299555,4.253639132389166,146.24894169075756,247841.0556350996,other,1418.3993973934425,7.257284329910389
Тверская область,Тверская область,2018,80900.0,65.728,5.559316175,646.2348494339922,14.68946125,413.8012636396187,242.14761895169664,5.170356493333333,852.4205780336121,12.093342866666667,497.8363743591861,11.300969103046583,4.185525014306093,215.7802718152516,171231.48578974523,other,1230.8300876338851,7.11544408874049
Тверская область,Тверская область,2019,122100.0,68.813,6.586924144166666,803.5223691669328,13.315023166666668,443.17884305501263,209.79953050875037,5.559316175,646.2348494339922,14.68946125,413.8012636396187,11.712595660098795,4.2313926805782085,177.28984192887006,196407.4869315795,other,1774.3740281632831,7.481202979520588
Тверская область,Тверская область,2020,107400.0,69.962,7.184480091666667,854.5219593410575,13.127803216666663,530.757476218681,283.4813246522441,6.586924144166666,803.5223691669328,13.315023166666668,443.17884305501263,11.584315461056901,4.247952237506216,172.33921729552364,281703.4985620237,other,1535.1190646350876,7.336363223550686
Тверская область,Тверская область,2021,102200.0,67.183,5.313727633333333,778.8040391034064,14.3462503,429.69719816181816,244.7946059385111,7.184480091666667,854.5219593410575,13.127803216666663,530.757476218681,11.534686956751742,4.207420239334754,205.81489767025008,184639.68210811683,other,1521.2181653096764,7.327266717416987
Тверская область,Тверская область,2022,155800.0,65.4065,5.510950383333333,577.9940708079818,13.097418033333334,353.0143614608292,273.7332031970869,5.313727633333333,778.8040391034064,14.3462503,429.69719816181816,11.956328412418785,4.18062164190366,171.5423591398852,124619.13939759698,other,2382.0262512135646,7.775706770515125
Тверская область,Тверская область,2023,179100.0,71.8398,6.0058593,423.3945682631287,14.34730995,175.73514487388033,155.39362237853996,5.510950383333333,577.9940708079818,13.097418033333334,353.0143614608292,12.095699588048802,4.2744386400257035,205.84530280136903,30882.841143843707,other,2493.047029640951,7.8212609480231
Томская область,Томская область,2007,339980.0,245.016,1.27935175,749.3949023007559,11.5707255,519.5497692678152,100.3755352517166,,,,,12.73664207133276,5.501323514534824,133.88168859635024,269931.96274624,risky_farming,1387.5828517321318,7.235318556797937
Томская область,Томская область,2008,408840.0,247.462,0.7920946583333336,678.0652796147605,10.50215745,417.4840995637729,177.7635125428106,1.27935175,749.3949023007559,11.5707255,519.5497692678152,12.921079160443012,5.511257034867451,110.29531110459052,174292.97338857423,risky_farming,1652.1324486183737,7.409822125575562
Томская область,Томская область,2009,397438.1,256.576,-1.690643466666667,584.8320677743956,11.036890783333334,410.4524569411334,167.5573010968859,0.7920946583333336,678.0652796147605,10.50215745,417.4840995637729,12.892794477679956,5.547424917020042,121.81295816322827,168471.21940901296,risky_farming,1549.007311673734,7.345369560659914
Томская область,Томская область,2010,359200.0,240.418,-2.6623717439166668,611.6053458199256,9.7357344455,408.8055218274758,150.00885481155026,-1.690643466666667,584.8320677743956,11.036890783333334,410.4524569411334,12.791634615410182,5.482379075066031,94.7845251932952,167121.95467663478,risky_farming,1494.0645043216398,7.309255540344151
Томская область,Томская область,2011,317600.0,250.314,0.7510097833333332,617.2080067281867,11.848721216666668,423.6187568141293,170.1397520231036,-2.6623717439166668,611.6053458199256,9.7357344455,408.8055218274758,12.668548008355117,5.5227161297540865,140.39219447028685,179452.85112474844,risky_farming,1268.8063791877403,7.145831878601031
Томская область,Томская область,2012,146600.0,252.888,0.0905183994166668,421.2590651146103,13.4708719,267.3557259784577,121.3691009082314,0.7510097833333332,617.2080067281867,11.848721216666668,423.6187568141293,11.895463068434688,5.5329467029653365,181.46438974620963,71479.08421346817,risky_farming,579.7032678497991,6.362516365469352
Томская область,Томская область,2013,320100.0,219.851,0.4697701074999997,733.8985224127991,10.549277616666666,418.19317446483507,179.5537096747235,0.0905183994166668,421.2590651146103,13.4708719,267.3557259784577,12.676388725957954,5.392950044172308,111.28725823350432,174885.53116897598,risky_farming,1455.9860996765992,7.283438681785647
Томская область,Томская область,2014,296500.0,213.772,-0.6315403333333335,608.1812975812259,10.7388089,351.2523550726889,239.89354352519464,0.4697701074999997,733.8985224127991,10.549277616666666,418.19317446483507,12.599802497419917,5.364910026497169,115.32201659071922,123378.2169441103,risky_farming,1386.9917482177273,7.234892470922748
Томская область,Томская область,2015,300300.0,197.629,1.4558638516666669,751.8143871428921,11.957848616666666,462.2372912440798,204.66771101112064,-0.6315403333333335,608.1812975812259,10.7388089,351.2523550726889,12.612537253971421,5.286391535679009,142.9901435391169,213663.3134166643,risky_farming,1519.513836532088,7.326145718292413
Томская область,Томская область,2016,303500.0,190.45,0.7259486416666668,472.4599882240112,13.51991865,279.0262571102065,148.91447925746274,1.4558638516666669,751.8143871428921,11.957848616666666,462.2372912440798,12.62313688948169,5.249389692924613,182.78820030261784,77855.65215693104,risky_farming,1593.594119191389,7.373747196557077
Томская область,Томская область,2017,362800.0,186.5,1.1179399583333334,618.5205327472697,11.36599935,404.5660612388048,201.01161984857424,0.7259486416666668,472.4599882240112,13.51991865,279.0262571102065,12.801606997223118,5.2284312390838705,129.18594122420043,163673.69790628037,risky_farming,1945.3083109919571,7.573175758139248
Томская область,Томская область,2018,335200.0,162.41,-0.967647403333334,655.7119520820341,10.680356826666667,404.8330777287237,164.96151440466596,1.1179399583333334,618.5205327472697,11.36599935,404.5660612388048,12.722482647590065,5.090124002186512,114.07002194492529,163889.82082331085,risky_farming,2063.9123206699096,7.632358645403554
Томская область,Томская область,2019,341300.0,161.841,0.9687022941666666,590.2515407405833,11.403859471666667,365.5556690632583,175.1069539019831,-0.967647403333334,655.7119520820341,10.680356826666667,404.8330777287237,12.740517134894798,5.086614371782566,130.0480108495216,133630.9471842864,risky_farming,2108.859930425541,7.6539027631122325
Томская область,Томская область,2020,412700.0,165.426,3.0046173416666666,670.3839771642462,13.700373166666663,384.2183462082724,230.35517923385584,0.9687022941666666,590.2515407405833,11.403859471666667,365.5556690632583,12.930476215740674,5.108523964915366,187.70022490592,147623.73756301988,risky_farming,2494.7710758889175,7.821952250825307
